RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183354;2334585;-19.4115954,-44.2007805;-19.461785,-44.2541019;11.3;18.78;Comfort;27.5;comfort;Comfort
1183355;2334587;-26.88430799999999,-49.22681199999999;-26.86240879999999,-49.0871789;20.65;26.83;Comfort;42.0;comfort;Comfort
1183356;2334589;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Comfort;47.0;comfort;Comfort
1183356;2334589;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Bag;44.0;bag;Comfort
1183358;2334593;-20.0065194,-44.0156029;-19.9851247,-44.0087181;3.07;8.15;Comfort;11.5;comfort;Comfort
1183359;2334595;-12.9333175,-38.45945740000001;-12.986705,-38.5038133;12.76;19.17;Comfort;37.0;comfort;Comfort
1183360;2334597;-23.2239962,-46.862010399999996;-23.1775169,-46.8813667;9.8;19.95;Comfort;24.0;comfort;Comfort
1183361;2334599;-22.873191,-43.291830600000004;-22.9450514,-43.1857261;20.35;27.72;Comfort;70.5;comfort;Comfort
1183362;2334601;-19.9379505,-44.15879949999999;-19.972255,-44.0612193;14.9;20.12;Comfort;35.5;comfort;Comfort
1183363;2334603;-20.006313,-44.015287;-19.9851247,-44.0087181;3.04;8.17;Comfort;11.5;comfort;Comfort
1183365;2334607;-19.8867255,-44.03543299999999;-19.8743038,-44.0173988;2.68;6.22;Comfort;10.5;comfort;Comfort
1183367;2334611;-15.8923504,-48.1058765;-15.7933031,-47.9446732;27.71;31.48;Comfort;55.5;comfort;Comfort
1183367;2334611;-15.8923504,-48.1058765;-15.7933031,-47.9446732;27.71;31.48;Bag;65.5;bag;Comfort
1183368;2334613;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Comfort;23.0;comfort;Comfort
1183370;2334617;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;74.5;comfort;Comfort
1183371;2334619;-23.671848999999998,-46.553676599999996;-23.7229206,-46.5470949;12.51;18.73;Comfort;30.5;comfort;Comfort
1183371;2334619;-23.671848999999998,-46.553676599999996;-23.7229206,-46.5470949;12.51;18.73;Bag;32.5;bag;Comfort
1183372;2334621;-23.537904599999997,-46.2278425;-23.5294799,-46.2041633;2.79;6.32;Bag;12.5;bag;Comfort
1183373;2334623;-23.537904599999997,-46.2278425;-23.5294799,-46.2041633;2.79;6.32;Bag;12.5;bag;Comfort
1183375;2334627;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Comfort;23.0;comfort;Comfort
1183376;2334629;-26.9972024,-48.63996470000001;-27.1601295,-48.5830345;25.78;29.18;Comfort;51.5;comfort;Comfort
1183377;2334631;-22.880909199999998,-48.428253299999994;-22.6073506,-48.79867989999999;55.5;49.32;Comfort;132.5;comfort;Comfort
1183378;2334633;-23.5479825,-46.4147201;-23.5892885,-46.5437064;19.38;48.88;Comfort;59.5;comfort;Comfort
1183378;2334633;-23.5479825,-46.4147201;-23.5892885,-46.5437064;19.38;48.88;Bag;55.5;bag;Comfort
1183379;2334635;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Comfort;21.0;comfort;Comfort
1183381;2334639;-23.511671,-46.7635643;-23.4753983,-46.77725979999999;8.55;16.15;Comfort;49.5;comfort;Comfort
1183382;2334641;-22.880909199999998,-48.428253299999994;-22.6073506,-48.79867989999999;55.5;49.32;Comfort;132.5;comfort;Comfort
1183383;2334643;-5.6976773,-35.2811239;-5.761033299999999,-35.2522839;11.15;23.92;Comfort;30.5;comfort;Comfort
1183384;2334645;-19.9379505,-44.15879949999999;-19.972255,-44.0612193;14.9;20.12;Comfort;36.0;comfort;Comfort
1183385;2334647;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Comfort;21.0;comfort;Comfort
1183386;2334649;-23.511671,-46.7635643;-23.4753983,-46.77725979999999;8.55;16.15;Comfort;49.5;comfort;Comfort
1183388;2334653;-26.9972024,-48.63996470000001;-27.1601295,-48.5830345;25.78;29.18;Comfort;51.5;comfort;Comfort
1183389;2334655;-19.911040000000003,-43.9683;-19.9399357,-43.9633408;5.39;13.53;Comfort;25.5;comfort;Comfort
1183390;2334657;-12.9418238,-38.5012342;-12.99231,-38.522473;7.83;19.2;Comfort;25.0;comfort;Comfort
1183393;2334663;-23.679255599999998,-46.4356353;-23.7074962,-46.4005026;7.59;18.43;Comfort;29.0;comfort;Comfort
1183393;2334663;-23.679255599999998,-46.4356353;-23.7074962,-46.4005026;7.59;18.43;Bag;23.0;bag;Comfort
1183394;2334665;-22.8705993,-43.4418015;-22.8763606,-43.37126019999999;9.6;19.43;Comfort;26.0;comfort;Comfort
1183395;2334667;-22.8143459,-43.413769699999996;-22.9050926,-43.55839270000001;28.54;40.5;Comfort;68.0;comfort;Comfort
1183397;2334671;-23.5649178,-46.7444943;-23.506699,-46.8750476;19.16;32.92;Comfort;86.0;comfort;Comfort
1183397;2334671;-23.5649178,-46.7444943;-23.506699,-46.8750476;19.16;32.92;Bag;82.0;bag;Comfort
1183398;2334673;-20.006313,-44.015287;-19.9851247,-44.0087181;3.04;8.17;Comfort;11.0;comfort;Comfort
1183401;2334679;-15.6585412,-56.1442747;-15.6388168,-56.10163060000001;8.11;18.93;Comfort;29.5;comfort;Comfort
1183403;2334683;-21.1337007,-47.80463570000001;-21.1925103,-47.7753175;9.95;18.72;Comfort;30.5;comfort;Comfort
1183404;2334685;-19.911267199999998,-43.968071099999996;-19.9399357,-43.9633408;5.64;13.5;Comfort;19.0;comfort;Comfort
1183405;2334687;-22.8709787,-43.4412802;-22.8763606,-43.37126019999999;9.6;19.65;Comfort;26.0;comfort;Comfort
1183406;2334689;-23.4863461,-46.7437172;-23.5424716,-46.6600963;14.97;34.73;Comfort;67.0;comfort;Comfort
1183406;2334689;-23.4863461,-46.7437172;-23.5424716,-46.6600963;14.97;34.73;Bag;63.0;bag;Comfort
1183407;2334691;-19.861585200000004,-44.0266054;-19.9052705,-43.9445242;14.5;26.17;Comfort;55.5;comfort;Comfort
1183408;2334693;-24.120794999999998,-46.670656799999996;-24.3197245,-47.0053696;46.28;46.98;Comfort;93.5;comfort;Comfort
1183409;2334695;-22.873191,-43.291830600000004;-22.9450514,-43.1857261;18.89;32.03;Comfort;66.0;comfort;Comfort
1183410;2334697;-23.7123991,-46.503970699999996;-23.6662339,-46.4954885;7.51;16.33;Comfort;26.0;comfort;Comfort
1183411;2334699;-19.861585200000004,-44.0266054;-19.9052705,-43.9445242;14.5;26.17;Comfort;52.5;comfort;Comfort
1183412;2334701;-15.839681599999999,-48.1245099;-15.9038901,-48.0664782;15.73;21.83;Comfort;43.0;comfort;Comfort
1183412;2334701;-15.839681599999999,-48.1245099;-15.9038901,-48.0664782;15.73;21.83;Bag;50.5;bag;Comfort
1183413;2334703;-22.8502886,-43.5269978;-22.88197289999999,-43.3389099;24.47;31.72;Comfort;59.0;comfort;Comfort
1183414;2334705;-24.120794999999998,-46.670656799999996;-24.3197245,-47.0053696;46.28;46.98;Comfort;93.5;comfort;Comfort
1183415;2334707;-23.3077927,-46.7271401;-23.4416294,-46.72195429999999;22.96;40.48;Comfort;78.0;comfort;Comfort
1183416;2334709;-15.839681599999999,-48.1245099;-15.9038901,-48.0664782;15.73;21.83;Comfort;46.0;comfort;Comfort
1183416;2334709;-15.839681599999999,-48.1245099;-15.9038901,-48.0664782;15.73;21.83;Bag;54.5;bag;Comfort
1183417;2334711;-22.8502886,-43.5269978;-22.88197289999999,-43.3389099;24.47;31.72;Comfort;59.0;comfort;Comfort
